RecordedDate,Q1,Q2,Eligibility 1,Eligibility 2,Duration (in seconds),Finished,StartDate,EndDate,Progress
2023-07-11 05:06:29,"There are many ways in which response time data can be preprocessed. I would start with more general and conceptual steps (the way how I would think)  and then proceed to more concrete steps (the way how I would proceed). 

To prepare an optimal strategy suited for the project, I would check if there exist any recent standards/guidelines that I can follow. If not I would prepare it by myself (see information provided below) based on the literature and forums. Also, (if my programming skills would allow) I would try to simulate data or reserve some portion of pilot data or at least try the whole procedure on myself and simulate various potential problems (e.g., wrong answers, keyboard layouts, distractions, to fast or to slow responses and so on) to contextualize it. Based on these “train” data, I would conduct a pilot data-processing procedure. After the pilot testing procedure, I would pre-register the procedure before the final data processing to limit my degrees of freedom when working with real datasets. Optimally, besides the primary analysis, I would also conduct and report the sensitivity analysis without cleaning procedure (as not treating outliers is an option similar to treating them in some way) or even include a few key decision points that can substantially alter results (multiverse analysis). I would be as transparent as possible. 

To provide more concrete steps suitable for the present task, I would follow these steps: 
First, I would check invalid traits and check if the stimulus presentation or response recording was not faulty (for example, I would check stimulus onset times). I would not include participants that have faulty presentations/recordings. 

Second, I would check errors where participants gave the wrong answer or failed to respond. In particular, If the errors are too abundant, I would not include participants beyond a certain threshold (e.g., 75% accuracy) as these participants could have technical or other problems. Also, I would not include wrong trials as these can bias results. 

Third I would consider dealing with outliers. By outliers, I mean response data that are extremely fast (e.g., a response time shorter than 100-200 ms. is probably not valid) or slow (response beyond 2s could be biased due to attention lapses or distractions). The outliers can be handled in various ways (see e.g., Berger and Kiefer 2021 for simulation and comparison of different response time outlier exclusion methods). I would consider these recommendations and my technical abilities and available resources. If possible, I would try 2-3 approaches and provide a comparison of results.   

For example, (3a) in the software that I tried for data collection of reaction times, it was very easy to implement a percentile method (not include trials beyond certain thresholds (e.g., 5th and 95th percentile) per individual. Based on this experience, I would include only trials that pass this criterion and then follow the suggested data analytics strategy (i.e., “Response times to the critical targets will be z-transformed for each participant separately...).  
Alternatively, to provide results with a more comprehensive alternative approach, according to Berger and Kiefer (2021), the methods excluding RTs as outliers based on z-scores (“2sd,” “3sd,” and “transform”) showed considerably small (absolute) biases, few Type-I errors and excluded only small proportions of reaction times and, as z-scores will be used in the following analysis. Therefore, I would try to implement one of these methods; i.e., (3b) z-transformed values exceeding a particular z-score (e.g., 3) will be excluded before subtracting z-transformed related and unrelated trials response times; or, optimally, (3c) I would use the formula mentioned in Berger and Kiefer (2021): “For each transformed value, the square root of the untransformed value minus the minimum value of the sample divided through the sample range is calculated. The fraction bounds all values between 0 and 1, while the square root enlarges small values”. Afterwards, these values are z-transformed and values exceeding a particular z-score (e.g., 3) are excluded; however, to be honest, at this phase, I´m not sure if this is fully compatible with the suggested analytic strategy. ","No modification. ",Yes,Yes,9002,True,2023-07-11 02:36:27,2023-07-11 05:06:29,100
2023-07-11 06:16:52,"I make the following additional assumptions: There is a principled way to match priming effects from one language to the other (say dog/cat in English to hund/katze in German). I also assume, we have preregistered all of these decisions.

1. Define a reaction window that is considered to measure the target process. For example, humans needs 100-200 ms to react to a visual stimulus. RTs below such a threshold can be assumed not have reacted to the visual stimulus. Moreover, word processing would unlikely take longer than 2000 ms. So dependent on what the target time window is, remove all trials outside of it (e.g. <200 and >2000).

2. Apply a preregistered exclusion criteria for participants that states what a valid participant's behavior should look like. For example if a participant produce X% of reactions outside of the window defined in (1), the participant is excluded from further processing.

3. Log-transform RTs to account for naturally skewed RT values per participant. Do you get normal-ish distributions across the board? If yes, proceed, if not find better transformation. 

4. z-transform RTs for participants as described on previous page.

Given that many of these RTs are collected online, a certain level of additional trimming might be necessary.

5. I would inspect z-transformed distributions and remove outliers on a participant-basis based on a very lenient criterion (below -5 and above +5 SDs) to account for responses that are likely to have been confounded by external factors such as distractions. 

Now for a simple correlation between language1 and 2, some form of aggregation would be required. Any form of aggregation loses important information about the measurement error, so methods that allow for hierarchical assessment would be preferred. I assume the description of the analysis suggests a simple correlational assessment however. (if not some form of multi-level model should be applied that allows to estimate between-item and between-participant variation)

6. Calculate median (not mean) values per item per condition, calculated across all participants.

7. Subtract the median z-transformed response times of the two conditions from each other for each item (item priming effect)

8. Correlate priming effects between language 1 and 2 using a Pearson correlation test.  

9. Check if assumptions are met: Inspect scatterplot to determine whether covariation is linear. (we already checked normality of distributions in (3))

10. Get a cookie, you deserve it. ","As suggested in previous window, simple correlations would require aggregation which removes observed variation. This variation can be informative and affect our degree of (un)certainty in the point estimate. A hierarchical model or measurement-error model could be more appropriate to be conservative.",Yes,No,2570,True,2023-07-11 05:34:00,2023-07-11 06:16:50,100
2023-07-11 07:23:24,"While accuracy is not the focus here, I would use accuracy to set the threshold for random responders. Let's say that an individual hits 50% accuracy overall, but has a 50ms average response time: I would consider data from this subject irrelevant. While overall it would make no difference since the ""randomness"" would be spread accross all trials categories and accross all items, we should avoid disregarding any perceptual effect of words or couples of words on random response, e.g. an inhibitory effect on the behavioral response when familiar couples are detected.
Setting a reasonable rt threshold would be a difficult task, but in my opinion should be data driven, by looking for clusters of subjects (random responders vs readers).",I think the proposed data-analysis is appropriate.,Yes,Yes,1910,True,2023-07-11 06:51:33,2023-07-11 07:23:23,100
2023-07-11 07:27:13,,,No,No,33,True,2023-07-11 07:26:38,2023-07-11 07:27:12,100
2023-07-11 07:33:00,"1. Discard all filler trials from the data
2. Import the English and German data in long format into the final database
3. Run a linear mixed model analysis on the data, using language and target category (related vs. unrelated) as fixed factors and subject as a random grouping factor, with RT as the dependent variable",No modification,Yes,No,1362,True,2023-07-11 07:10:17,2023-07-11 07:32:59,100
2023-07-11 08:34:28,"I would remove trials with a reaction time below 250ms before calculating the z-transformed RTs for each participant. The justification is that 250ms is a lower threshold for simple reaction time tasks (e.g., pressing a key immediately
upon attending to a stimulus; Posner, 1980), and unlikely to represent a meaningful lexical decision.
I would also remove participants that lost more than 25% of their trials due to the previous step, as they may not be performing the task well (either inattention causing them to respond on the subsequent trial, which leads to what looks like very short RTs) or tendency to respond without evaluating the stimulus. ",No modification. This is exactly what I had envisioned.,Yes,No,1184,True,2023-07-11 08:14:41,2023-07-11 08:34:26,100
2023-07-11 08:57:13,,,Yes,No,59894,True,2023-07-10 16:18:57,2023-07-11 08:57:12,100
2023-07-11 09:07:23,"I have no additional data-processing steps to suggest for the response time, but I would suggest looking at accuracy too.",No modification,Yes,No,517,True,2023-07-11 08:58:44,2023-07-11 09:07:22,100
2023-07-12 03:19:03,"Your approach seems fair. There are many ways how I could analyze the data, but I don't see any additional benefits in modifying what you've already suggested.",No modification,Yes,Yes,3340,True,2023-07-12 02:23:21,2023-07-12 03:19:02,100
2023-07-12 04:51:44,"Before z-transforming response times to critical targets for each participant, I would choose a cutoff as a function of the proportion of responses eliminated. For instance, a 1000-ms or 1500-ms cutoff, if that results in the elimination of as much as 5-15% of the data, including outliers. Eliminating long reaction times can increase power, as faster reaction times are more stable than longer reaction times (Ratcliff, 1993).
Another measure that is commonly used to establish cutoffs is to discard those trials in which the reaction times were 2 standard deviations above or below the mean reaction times for each participant. Such trials could be considered outliers.

Ratcliff, R. (1993). Methods for dealing with reaction time outliers. Psychological Bulletin, 114(3), 510–532. https://doi.org/10.1037/0033-2909.114.3.510","I would recommend that, instead of establishing correlations between the item-level priming effects of the data in English and the data in other languages, to do an ANOVA with ""language"" as the independent variable.
Alternatively, it would be very interesting to use techniques based on machine learning, such as Boosted Regression Trees, to analyze whether the item-level priming effects vary as a function of different variables: language, lexical variables (frequency, familiarity, valence, arousal, iconicity, etc.), subject variables (age, gender, etc.)....
In our group we have used this type of analysis in different publications, and I think it could be very interesting for this study. I leave a couple of links to these researches:

- Romero-Rivas, C., & Rodriguez-Cuadrado, S. (2021). The Psychological Impact of the COVID-19 Pandemic Affected Decision-Making Processes. The Spanish Journal of Psychology, 24, E16. doi:10.1017/SJP.2021.14
- Rodriguez-Cuadrado, S., Hinojosa, J.A., Guasch, M. et al. Subjective age of acquisition norms for 1604 English words by Spanish L2 speakers of English and their relationship with lexico-semantic, affective, sociolinguistic and proficiency variables. Behav Res (2022). https://doi.org/10.3758/s13428-022-02026-9",Yes,Yes,1796,True,2023-07-12 04:21:46,2023-07-12 04:51:43,100
2023-07-12 07:43:24,"A) If a paired samples test is used instead of correlation, the data-processing steps would be as follows:

    (1) Z-transformation of response times: Each participant's response times to critical targets will be z-transformed separately. This involves subtracting each participant's arithmetic mean response time to critical targets from their response time at each target trial, and then dividing the result by the participant's standard deviation, using only critical trials.

   (2) Separation of related and unrelated trials: The related and unrelated trials will be separated for each target.

   (3) Calculation of mean z-transformed response times: The arithmetic mean of the z-transformed response times will be calculated for both the related and unrelated trials, aggregated across participants.

   (4) Calculation of item-level priming effects: The mean z-transformed response time for unrelated trials will be subtracted from the mean z-transformed response time for related trials for each target. This will create item-level priming effects.

    (5) Comparison of item-level priming effects: The item-level priming effects based on the English data will be compared with the equivalent item-level priming effects based on the German data using a paired samples test. The test will determine if there is a significant difference between the two sets of item-level priming effects.

   (6) Reporting the main outcome: The point estimate of the difference between the item-level priming effects, along with its 95% confidence interval and p-value (testing the null hypothesis: rho = 0; alternative hypothesis: rho > 0), will be reported as the main outcome of interest to answer the research question.



B) If Bayesian correlation is used instead of traditional correlation, the data-processing steps would be as follows:

   (1) Z-transformation of response times: Each participant's response times to critical targets will be z-transformed separately. This involves subtracting each participant's arithmetic mean response time to critical targets from their response time at each target trial, and then dividing the result by the participant's standard deviation, using only critical trials.

   (2) Separation of related and unrelated trials: The related and unrelated trials will be separated for each target.

    (3) Calculation of mean z-transformed response times: The arithmetic mean of the z-transformed response times will be calculated for both the related and unrelated trials, aggregated across participants.

    (4) Calculation of item-level priming effects: The mean z-transformed response time for unrelated trials will be subtracted from the mean z-transformed response time for related trials for each target. This will create item-level priming effects.

   (5)  Bayesian correlation analysis: The item-level priming effects based on the English data will be correlated with the equivalent item-level priming effects based on the German data using Bayesian correlation analysis. This analysis will estimate the posterior distribution of the correlation coefficient between the two sets of item-level priming effects.

  (6)  Reporting the main outcome: The point estimate of the correlation coefficient, along with its 95% credible interval and the probability of the alternative hypothesis being true (H1: rho > 0), will be reported as the main outcome of interest to answer the research question. The Bayesian approach allows for a more nuanced interpretation of the correlation while considering the uncertainty associated with the estimation.

In addition to the mentioned data-processing steps, if outcome-neutral tests and quality checks are needed, the following steps can be considered:

    Outcome-neutral tests: Conducting outcome-neutral tests is important to ensure the validity and reliability of the data. This can involve checking for potential confounding variables or biases that may affect the results. For example, evaluating if there are any systematic differences in response times between conditions or trials that are unrelated to the research question.

Robustness checks: Conduct robustness checks to assess the stability and robustness of the findings. This can involve analyzing subsets of the data or applying alternative analysis approaches to ensure the results are consistent and not overly influenced by specific data points or assumptions.

Sensitivity analysis: Perform sensitivity analysis to examine the impact of different modeling choices or assumptions on the results. This can help assess the robustness of the findings and explore potential alternative explanations or interpretations.",no modification,Yes,Yes,1016,True,2023-07-12 07:26:27,2023-07-12 07:43:24,100
2023-07-12 08:57:09,"1) I would check the data and remove any missing observations (e.g., NA values) that would prevent the calculation of z-scores

2) I would sort the RT data in ascending order and check for any unusual values (e.g., negative RTs or any numbers that are inconsistent with the task), which can sometimes be caused by software malfunctioning. If there is less than 10% of those per participant, I would usually just discard them. Otherwise, I would remove the participant from the analysis. 

3) I would calculate the accuracy scores for each participant and ensure that participants' accuracy was at least 10% above chance-level performance. Participants who don't meet this criterion would be excluded. This is because they likely weren't doing the task.

4) I would remove RTs <100 ms or > 3000ms as outliers. The upper limit usually depends on how much time participants are given to make a response. I usually look at what most previous studies have done in the past and pre-register the outlier thresholds for transparency. 

5) I would do a QQ plot to check the distribution of the data. RTs often tend to have a distribution skewed to the right. I would check if log-transforming the RTs improved the distribution and use the log-transformed data for analysis if this is the case. I would report the untransformed analysis in the Supplementary and note if there are any differences in the text.
","The plan sounds reasonable, though I don't have too much experience with item-level analyses. 

If I understood correctly, you are averaging across participants (and likely other relevant variables such as country), which may lead to some loss of information. I have heard that there are some multi-level correlation models that may be able to address this (though I haven't used them myself). Otherwise, I have no other suggestions.
",Yes,No,11560,True,2023-07-12 05:44:28,2023-07-12 08:57:08,100
2023-07-12 09:16:07,,,No,No,180,True,2023-07-12 09:13:05,2023-07-12 09:16:06,100
2023-07-12 11:44:53,"Before z scoring the data, I would look for potential outliers in RT which might indicate a lapse in the participant's attention. I would do this using the standard mean +- 2 stdev for culling.","I think the analysis is probably ok without the outlier analysis, since there should be very few outliers anyway.",Yes,No,312,True,2023-07-12 11:39:40,2023-07-12 11:44:52,100
2023-07-12 14:38:22,"1) Check for and remove outliers - first check percentage of correct responses per subject. It is very easy to button press with a study like this and you want only want subjects that were trying. 
2) Since the trial cuts off at 3000 ms, check for very fast reaction times to remove and replace. I usually winsorize in my reaction time studies at 3 SD. Not sure what criteria I would use here since 2 SDs and 3 SDs might not be effective at identifying reaction times that are too fast. But there would have to be some minimum reaction time threshold to identify word or not.
3) Finally, I would only use correct responses for my reaction time analyses.
",No modification,Yes,No,1020,True,2023-07-12 14:21:21,2023-07-12 14:38:21,100
2023-07-13 02:13:11,"1. I would first check each participant's accuracy rates/time outs. Because this is an easy task, participants with low accuracy rates should be entirely discarded, as it could mean that the participant misunderstood instructions, not motivated/paying attention, using the wrong button as a 'word' response etc. I am not clear how to define ""low"" but I usually put all participants on a distribution and if their accuracy rates are less than 3 SDs from the grand mean I make the decision to fully exclude those participants. I assume that if the trial is ""timed out"" then it will be a missing trial... If there are too many of such time outs it can mean computer/internet issues and I would exclude the participant. The 3SD accuracy rule can be applied here too. 

2. The next step is exclusions at the level of individual trials for each participant. I would exclude trials whose RTs are more than 2.5 SDs above or below the participant's means. I would also exclude incorrect trials (e.g., pressing nonword when the target is a word). ",no modification,Yes,Yes,961,True,2023-07-13 01:57:08,2023-07-13 02:13:10,100
2023-07-13 09:38:02,,,Yes,Yes,1454,True,2023-07-13 09:13:47,2023-07-13 09:38:01,100
2023-07-14 01:45:15,"1. calculate z-scores for response times:
   - for each participant, calculate the arithmetic mean response time to critical targets.
   - subtract the participant's mean response time from their response time on each critical target trial.
   - divide the result by the participant's standard deviation, using only critical trials.

2. separate related and unrelated trials for each target:
   - identify the related prime trials and unrelated prime trials for each critical target.
   - create two separate datasets: one for related trials and another for unrelated trials.

3. calculate mean z-transformed response times:
   - calculate the arithmetic mean of the z-transformed response times for each target separately for the related trials dataset.
   - calculate the arithmetic mean of the z-transformed response times for each target separately for the unrelated trials dataset.

4. compute item-level priming effects:
   - for each target, subtract the mean z-transformed response time of the unrelated trials from the mean z-transformed response time of the related trials.

5. perform correlation analysis:
   - use the item-level priming effects based on the Language A data and the equivalent item-level priming effects based on the Language B data.
   - calculate the Pearson correlation coefficient (r) between the two sets of item-level priming effects.
   - determine the 95% confidence interval of the correlation coefficient.
   - calculate the p-value for the correlation test with the null hypothesis (H0: rho = 0) and the alternative hypothesis (H1: rho > 0).",no modification,Yes,Yes,2209,True,2023-07-14 01:08:24,2023-07-14 01:45:14,100
2023-07-14 19:03:28,"Reaction time data tends to frequently contain outlier trials that do not result from the process of interest. Thus, I would suggest removing outlying responses that are greater than 3 SD above or below each participant's mean response time. This would be a first step before any means are computed.  

I'm aware that there is some debate as to whether or not RT data should be transformed to make the distribution more normal. Log and reciprocal transformations are relatively common. However, some research (Schramm and Rouder, 2019) suggests log transforms offer no benefit in terms of increased power or better Type I error control and suggests reciprocal transformations can even lead to decreased power. My personal inclination in this situation is not to do any normalization transformations.",No modification,Yes,No,3225,True,2023-07-14 18:09:42,2023-07-14 19:03:27,100
2023-07-17 08:41:33,,,Yes,Yes,1093,True,2023-07-17 08:23:19,2023-07-17 08:41:32,100
2023-07-17 16:26:00,,,Yes,No,125,False,2023-07-10 16:23:50,2023-07-10 16:25:56,55
2023-07-17 16:29:29,,,,,297,False,2023-07-10 16:24:28,2023-07-10 16:29:26,18
2023-07-17 18:39:59,,,,,4,False,2023-07-10 18:39:53,2023-07-10 18:39:58,18
2023-07-17 19:52:17,,,Yes,Yes,50,False,2023-07-10 19:51:23,2023-07-10 19:52:13,73
2023-07-17 21:08:43,,,Yes,Yes,516,False,2023-07-10 21:00:04,2023-07-10 21:08:41,55
2023-07-17 21:28:55,I would remove incorrect trials and I would then remove trials where the response time was more than 3SD beyond each participant's mean reaction time before z-transforming the data for individual participants.,The key analysis seems to rest on assessing the correlation between item level effects in the two samples. I might suggest as a complementary approach a multi-level model in which country is a variable at one level and item-level effects are nested within participants. I might also consider computing the grand mean of item-level effects for each country and running an ANOVA with country as a between subjects variable.,Yes,No,1292,True,2023-07-17 21:07:21,2023-07-17 21:28:54,100
2023-07-17 21:30:24,,,Yes,No,405,False,2023-07-10 21:23:34,2023-07-10 21:30:20,82
2023-07-18 00:53:40,,,Yes,No,28,False,2023-07-11 00:53:11,2023-07-11 00:53:39,73
2023-07-18 01:52:48,,,,,87,False,2023-07-11 01:51:20,2023-07-11 01:52:47,18
2023-07-18 01:56:18,"1. Exclude trials with extremely short reaction times (e.g., <200ms). I'd also run a sensitivity analysis, excluding trials with reaction times <250 ms and <300ms.
2. Log transform the reaction times (instead of z-scoring them; or maybe log transform and then z-score them)
3. Separate related and unrelated trials for each target
4. Subtract their arithmetic mean response times
","Almost everything was OK but I’d not average over trials but model the responses to these trials directly, using a linear mixed-effects model with a by-subject and by-target type random intercept. This random effect term will account for dependencies in RTs within subjects and target types.",Yes,No,3059,True,2023-07-18 01:05:18,2023-07-18 01:56:17,100
2023-07-18 01:58:16,,,Yes,Yes,140,False,2023-07-11 01:55:53,2023-07-11 01:58:14,73
2023-07-18 03:32:35,,,Yes,Yes,244,False,2023-07-11 03:28:26,2023-07-11 03:32:31,73
2023-07-18 07:17:51,,,Yes,Yes,14900,False,2023-07-11 03:09:29,2023-07-11 07:17:50,73
2023-07-18 08:00:15,,,Yes,Yes,22046,False,2023-07-11 01:52:47,2023-07-11 08:00:13,55
2023-07-18 09:15:10,,,Yes,Yes,59,False,2023-07-11 09:14:10,2023-07-11 09:15:09,45
2023-07-18 12:14:20,,,Yes,No,257653,True,2023-07-15 12:40:05,2023-07-18 12:14:19,100
2023-07-18 12:24:14,"Initially, I would look at descriptives and plots for accuracy and RT.

I would then first examine task compliance and, depending on what is common for this type of task, consider excluding participants with accuracy below 60%.

Second, I would check for any impossible/wrong RTs, i.e. shorter than 0 and longer than 3000, and exclude any such trials.

Third, I would consider removind trials with premature responses (RT < 150 ms). ",No modification,Yes,No,587,True,2023-07-18 12:14:26,2023-07-18 12:24:14,100
